customer_id,open_date,account_type,balance,credit_score,job_sector
CUST_10000,2025-04-13,Checking,29519.13,648.0,Finance
CUST_10001,2025-06-29,Savings,37883.04,,Finance
CUST_10002,2025-04-03,Checking,0.0,456.0,Unknown
CUST_10003,2025-01-15,Savings,19551.02,380.0,Tech
CUST_10004,2025-04-17,Savings,36719.0,507.0,Education
CUST_10005,2025-03-13,Savings,19941.84,385.0,Tech
CUST_10006,2025-01-21,Checking,15759.85,746.0,Tech
CUST_10007,2025-04-13,Checking,0.0,476.0,Finance
CUST_10008,2025-05-02,Savings,0.0,810.0,Education
CUST_10009,2025-03-16,Checking,0.0,438.0,Finance
CUST_10010,2025-03-29,Savings,25807.86,401.0,Unknown
CUST_10011,2025-04-27,Checking,0.0,772.0,Unemployed
CUST_10012,2025-04-10,Checking,3719.38,841.0,Tech
CUST_10013,2025-04-14,Checking,17604.13,493.0,Education
CUST_10014,2025-06-01,Credit Card,0.0,785.0,Unemployed
CUST_10015,2025-05-11,Savings,9186.35,613.0,Unemployed
CUST_10016,2025-05-30,Credit Card,7231.6,546.0,Unemployed
CUST_10017,2025-02-22,Checking,18156.65,737.0,Unknown
CUST_10018,2025-01-02,Checking,14882.74,372.0,Finance
CUST_10019,2025-03-29,Checking,14409.38,368.0,NA
CUST_10020,2025-06-07,Savings,8011.78,451.0,Unemployed
CUST_10021,2025-02-07,Checking,0.0,393.0,Healthcare
CUST_10022,2025-05-10,Checking,7094.93,734.0,Retail
CUST_10023,2025-01-21,Savings,5829.56,730.0,Retail
CUST_10024,2025-06-10,Savings,16498.17,756.0,Education
CUST_10025,2025-02-27,Savings,0.0,729.0,Retail
CUST_10026,2025-01-22,Investment,5626.99,528.0,Unknown
CUST_10027,2025-03-30,Checking,6100.41,329.0,Education
CUST_10028,2025-02-18,Savings,0.0,634.0,Tech
CUST_10029,2025-02-28,Savings,0.0,476.0,Healthcare
CUST_10030,2025-06-19,Checking,10738.11,708.0,Education
CUST_10031,2025-01-15,Credit Card,20116.45,536.0,Unknown
CUST_10032,2025-06-24,Savings,0.0,577.0,Unknown
CUST_10033,2025-02-20,Savings,1733.49,376.0,Tech
CUST_10034,2025-04-18,Credit Card,17443.24,839.0,Healthcare
CUST_10035,2025-02-24,Savings,18900.63,457.0,Finance
CUST_10036,2025-03-05,Savings,8471.38,466.0,Tech
CUST_10037,2025-05-11,Investment,11213.02,484.0,Finance
CUST_10038,2025-02-20,Checking,12980.75,688.0,Retail
CUST_10039,2025-05-15,Savings,15665.51,311.0,Unknown
CUST_10040,2025-01-21,Savings,0.0,468.0,NA
CUST_10041,2025-03-14,Savings,33758.16,725.0,Healthcare
CUST_10042,2025-06-16,Savings,9110.06,748.0,Unknown
CUST_10043,2025-01-18,Credit Card,15947.48,793.0,Retail
CUST_10044,2025-05-12,Checking,0.0,748.0,Tech
CUST_10045,2025-03-30,Credit Card,2211.49,405.0,Unknown
CUST_10046,2025-03-01,Investment,10654.76,726.0,Retail
CUST_10047,2025-01-14,Checking,0.0,397.0,Finance
CUST_10048,2025-01-09,Savings,0.0,525.0,Unknown
CUST_10049,2025-03-31,Checking,0.0,746.0,NA
CUST_10050,2025-02-22,Investment,0.0,775.0,Unemployed
CUST_10051,2025-05-10,Credit Card,6591.24,502.0,Education
CUST_10052,2025-03-25,Savings,3888.76,596.0,Retail
CUST_10053,2025-04-02,Checking,26355.61,315.0,Unemployed
CUST_10054,2025-04-21,Checking,0.0,677.0,Healthcare
CUST_10055,2025-06-21,Investment,8521.23,635.0,Finance
CUST_10056,2025-01-08,Savings,0.0,319.0,Tech
CUST_10057,2025-06-24,Checking,0.0,739.0,Retail
CUST_10058,2025-02-04,Credit Card,13817.06,543.0,Healthcare
CUST_10059,2025-03-22,Checking,15058.98,543.0,Healthcare
CUST_10060,2025-06-13,Checking,13281.78,691.0,Unknown
CUST_10061,2025-02-19,Savings,0.0,561.0,Healthcare
CUST_10062,2025-04-14,Savings,6253.81,519.0,Healthcare
CUST_10063,2025-05-12,Savings,13960.41,307.0,Unemployed
CUST_10064,2025-01-02,Investment,19282.4,745.0,Finance
CUST_10065,2025-05-14,Savings,14424.42,313.0,Education
CUST_10066,2025-02-23,Checking,19477.01,686.0,Retail
CUST_10067,2025-04-16,Checking,21010.7,321.0,Finance
CUST_10068,2025-01-04,Savings,6572.98,524.0,Unknown
CUST_10069,2025-02-23,Checking,12477.95,534.0,Education
CUST_10070,2025-05-26,Credit Card,19995.16,640.0,Healthcare
CUST_10071,2025-02-13,Credit Card,10851.88,433.0,Tech
CUST_10072,2025-06-11,Checking,22984.96,477.0,Healthcare
CUST_10073,2025-01-14,Checking,18117.44,819.0,Education
CUST_10074,2025-04-05,Savings,0.0,838.0,Education
