Timestamp,Temperature,Pressure,Humidity,Status
2024-01-01,23.4,1012.1,45.2,Active
2024-01-02,,1011.8,46.1,Active
2024-01-03,22.9,1012.5,,Active
2024-01-04,23.1,,44.8,
2024-01-05,23.5,1013.2,45.5,Standby
2024-01-06,,,45.9,Standby
2024-01-07,24.2,1011.5,46.2,Standby
2024-01-08,24.0,1010.9,,Active
2024-01-09,23.8,1011.2,47.1,Active
2024-01-10,,,47.5,Active
2024-01-11,,,48.0,
2024-01-12,25.1,1012.8,48.2,Active
2024-01-13,25.3,1013.1,48.5,Active
2024-01-14,,1013.5,,Active
2024-01-15,25.8,1014.0,49.1,
2024-01-16,26.0,1014.2,49.5,Maintenance
2024-01-17,25.9,1013.8,49.2,Maintenance
2024-01-18,,,48.8,Maintenance
2024-01-19,25.2,1012.5,48.1,
2024-01-20,24.8,1011.9,,Active
2024-01-21,24.5,1011.4,47.2,Active
2024-01-22,,1011.0,46.8,Active
2024-01-23,23.9,1010.8,,
2024-01-24,23.5,,45.5,Standby
2024-01-25,23.2,1010.5,45.1,Standby
2024-01-26,,,44.8,Standby
2024-01-27,22.8,1010.2,44.5,Active
2024-01-28,22.5,1010.0,44.1,Active
2024-01-29,,1009.8,43.8,
2024-01-30,22.1,1009.5,43.5,Active
2024-01-31,21.9,1009.2,43.2,Active
2024-02-01,21.7,1009.0,42.9,Active
2024-02-02,21.5,,42.5,
2024-02-03,,1008.5,42.2,Active
2024-02-04,21.1,1008.2,41.9,Active
2024-02-05,20.9,1008.0,,Active
2024-02-06,20.7,1007.8,41.2,Maintenance
2024-02-07,,,40.9,Maintenance
2024-02-08,20.3,1007.2,40.5,Maintenance
2024-02-09,20.1,1007.0,40.2,
2024-02-10,19.9,1006.8,,Active
2024-02-11,,1006.5,39.5,Active
2024-02-12,19.5,1006.2,39.2,Active
2024-02-13,19.3,1006.0,38.9,Active
2024-02-14,19.1,,38.5,
2024-02-15,,1005.5,38.2,Standby
2024-02-16,,1005.2,37.9,Standby
2024-02-17,,1005.0,37.5,Standby
2024-02-18,18.5,1004.8,37.2,Active
2024-02-19,18.3,1004.5,36.9,Active
